line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1536,1,33,0.5125,446.380987,0.69747,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1540,1,46,0.496875,447.450651,0.699142,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1544,1,10,0.514062,446.221964,0.697222,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1548,1,23,0.495312,445.97274,0.696832,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1552,1,9,0.504687,446.230097,0.697235,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1556,1,36,0.470313,447.61594,0.6994,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1560,1,42,0.5125,445.473589,0.696052,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1564,1,50,0.4875,446.781065,0.698095,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1568,1,24,0.523438,445.471128,0.696049,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1572,1,35,0.540625,443.097448,0.69234,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1576,1,26,0.526563,446.640905,0.697876,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1580,1,45,0.526563,444.362923,0.694317,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1586,1,1,0.520312,446.900486,0.698282,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1590,1,16,0.490625,450.45376,0.703834,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1594,1,19,0.504687,447.207613,0.698762,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1598,1,17,0.484375,451.422283,0.705347,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1602,1,27,0.510938,449.455555,0.702274,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1606,1,13,0.504687,444.797497,0.694996,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1610,1,25,0.517188,447.657877,0.699465,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1614,1,5,0.498437,451.509569,0.705484,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1618,1,49,0.50625,446.258213,0.697278,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1622,1,22,0.495312,445.152292,0.69555,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1626,1,7,0.53125,446.135918,0.697087,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1630,1,4,0.484375,448.670891,0.701048,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1634,1,8,0.540625,442.869286,0.691983,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1794,2,16,0.501563,448.370659,0.700579,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1798,2,33,0.515625,445.428574,0.695982,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1802,2,43,0.501563,445.342937,0.695848,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1806,2,27,0.460938,451.67271,0.705739,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1810,2,6,0.473438,448.890808,0.701392,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1814,2,35,0.514062,444.410816,0.694392,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1818,2,30,0.5375,443.694225,0.693272,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1822,2,20,0.509375,447.615322,0.699399,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1826,2,47,0.5,443.904726,0.693601,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1830,2,38,0.5125,447.590714,0.69936,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1834,2,23,0.50625,447.537989,0.699278,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1838,2,15,0.514062,446.014364,0.696897,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1842,2,25,0.521875,444.211506,0.69408,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1846,2,4,0.50625,444.492203,0.694519,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1850,2,46,0.504687,444.949493,0.695234,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1854,2,39,0.495312,445.540924,0.696158,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1858,2,10,0.492188,447.243216,0.698818,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1862,2,2,0.526563,445.273491,0.69574,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1866,2,37,0.528125,442.192024,0.690925,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1870,2,44,0.4875,450.736406,0.704276,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1874,2,36,0.489063,448.958155,0.701497,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1878,2,32,0.514062,445.876514,0.696682,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1882,2,34,0.473438,448.630672,0.700985,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1886,2,18,0.473438,449.307901,0.702044,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1890,2,24,0.471875,449.93609,0.703025,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1894,2,11,0.495312,447.709787,0.699547,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
