line,round,phase,log
2317,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2321,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2325,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2329,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2333,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2337,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2341,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2345,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2349,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2353,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2357,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2361,3,B,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2522,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2526,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2531,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2535,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2539,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2543,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2547,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2551,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2555,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2559,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2563,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2567,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2571,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2575,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2579,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2583,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2587,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2591,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
2595,4,A,results/overnight_proxy_adaptive_refresh_orth_a_c50_r4_lr1e-2_seed1.log
